id;description;code;url;enabled;creation;start_date;end_date
1;website Borders deposit;withdrawal;https://alena.biz;true;2021-01-26T18:30:47;2021-01-26T17:55:04;2021-01-26T02:41:30
2;online Tunisian Dinar Way;Credit Card Account;https://albertha.org;true;2021-01-26T01:55:34;2021-01-25T23:36:40;2021-01-25T21:29:22
3;RSS functionalities Bulgaria;frictionless Glens;https://rowena.info;false;2021-01-26T14:57:53;2021-01-25T22:19:41;2021-01-26T07:19:06
4;ivory;solution-oriented bleeding-edge;http://dillan.info;true;2021-01-26T12:43:45;2021-01-26T00:20:38;2021-01-26T06:22:18
5;Kuwait monitor;virtual;http://alexys.net;false;2021-01-26T03:44:20;2021-01-26T11:19:37;2021-01-26T00:20:56
6;Clothing;Wooden;http://amber.name;false;2021-01-26T03:18:38;2021-01-26T07:56:13;2021-01-26T17:15:55
7;efficient;Practical Granite Pants Australia;http://meghan.biz;true;2021-01-26T02:49:53;2021-01-26T09:01:49;2021-01-26T07:44:03
8;Analyst virtual;connect Martinique National;https://estefania.com;true;2021-01-26T08:00:20;2021-01-25T21:04:16;2021-01-26T16:40:41
9;panel;Qatari Rial Global;http://unique.com;true;2021-01-26T04:27:22;2021-01-26T08:10:38;2021-01-26T18:48:31
10;1080p Norway wireless;seize Keyboard;http://gudrun.org;false;2021-01-26T08:39:22;2021-01-25T23:10:09;2021-01-26T04:26:02
